                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9936,                 2.5034,                 1.6256,                0.51062,                0.21482,                0.30124,                0.10448,                 2.1249,                 2.3628,                 1.9738,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.7505,                 1.5836,                 1.4913,                 0.4012,                0.39176,                0.31034,                0.11938,                 2.1855,                 3.8258,                  2.319,               0.071793,              0.0027931,              0.0027931
                      3,                 1.7233,                 1.4776,                 1.5033,                 0.0079,                0.15059,                0.00472,                0.00125,                 3.8375,                    inf,                 6.0108,               0.056769,              0.0037694,              0.0037694
                      4,                 1.7269,                 1.4264,                 1.4726,                0.01471,                0.26235,                0.00969,                 0.0029,                  3.157,                 6.5026,                 3.8488,               0.041429,              0.0044289,              0.0044289
                      5,                 1.6684,                 1.3817,                 1.4531,                0.02421,                0.07734,                0.01161,                0.00281,                 3.4817,                 5.6748,                 3.0381,               0.025772,              0.0047716,              0.0047716
                      6,                 1.6213,                 1.3122,                 1.3984,                0.01695,                0.34706,                0.01146,                0.00431,                 2.7486,                  8.912,                  3.008,              0.0097975,              0.0047975,              0.0047975
                      7,                 1.5268,                 1.2286,                 1.3408,                0.01186,                0.22471,                 0.0072,                0.00244,                 2.7744,                 7.9596,                 3.2817,                0.00406,                0.00406,                0.00406
                      8,                 1.5499,                 1.2104,                 1.3553,                0.47337,                0.27294,                0.30427,                0.14589,                 1.9297,                  2.198,                 1.8442,                0.00307,                0.00307,                0.00307
                      9,                 1.4644,                 1.1755,                 1.3299,                0.65418,                0.57647,                0.64213,                0.33798,                 1.5691,                 1.3238,                 1.4355,                0.00208,                0.00208,                0.00208
                     10,                 1.4647,                 1.1361,                 1.3142,                0.75643,                   0.66,                0.76226,                0.42788,                 1.4333,                 1.1395,                 1.3231,                0.00109,                0.00109,                0.00109
