                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1548,                 3.4946,                 1.8291,                0.03736,                0.76471,                0.09924,                0.04247,                 1.5324,                 3.0472,                 1.2598,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.7874,                 2.4806,                 1.4055,                0.04213,                0.86235,                0.29836,                0.12255,                 1.7638,                  2.574,                   1.29,               0.071793,              0.0027931,              0.0027931
                      3,                 1.5882,                  1.627,                 1.2776,                0.63613,                0.58471,                0.61497,                0.30612,                 1.5355,                  1.697,                 1.2201,               0.056769,              0.0037694,              0.0037694
                      4,                 1.5274,                 1.4841,                 1.2445,                0.66546,                0.59882,                0.62933,                0.32547,                 1.5344,                 1.4166,                 1.2709,               0.041429,              0.0044289,              0.0044289
                      5,                 1.4814,                 1.3941,                 1.2534,                0.70831,                0.63882,                0.70547,                0.39716,                 1.4401,                 1.3338,                 1.2167,               0.025772,              0.0047716,              0.0047716
                      6,                 1.5084,                 1.4095,                 1.2568,                0.72925,                0.68446,                0.74728,                0.41229,                 1.4287,                 1.2844,                 1.2081,              0.0097975,              0.0047975,              0.0047975
                      7,                 1.4571,                 1.3165,                  1.226,                0.72337,                0.71064,                0.77946,                0.42787,                  1.391,                 1.1913,                 1.2016,                0.00406,                0.00406,                0.00406
                      8,                 1.4528,                  1.275,                 1.2177,                0.78174,                0.66998,                0.77994,                0.45397,                 1.3159,                 1.1657,                 1.1782,                0.00307,                0.00307,                0.00307
                      9,                 1.3709,                  1.239,                 1.1991,                0.78763,                0.69294,                0.79125,                0.46999,                 1.2971,                 1.1098,                 1.1624,                0.00208,                0.00208,                0.00208
                     10,                 1.3718,                 1.1961,                 1.1826,                0.78405,                0.72613,                0.81045,                0.48537,                 1.2714,                 1.0811,                 1.1521,                0.00109,                0.00109,                0.00109
