                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0701,                 3.4314,                 1.7621,                0.03908,                    0.8,                0.06235,                0.02749,                 1.4851,                 2.9448,                 1.2305,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.6341,                 2.4012,                 1.4228,                0.04299,                   0.88,                0.54603,                0.25451,                 1.4361,                 2.5667,                 1.2947,               0.071793,              0.0027931,              0.0027931
                      3,                 1.5108,                 1.6054,                 1.3218,                0.04397,                    0.9,                0.66035,                0.33744,                 1.3834,                  2.307,                 1.1955,               0.056769,              0.0037694,              0.0037694
                      4,                 1.4663,                 1.4309,                 1.2416,                0.84953,                0.54235,                0.74841,                0.41188,                 1.2926,                 2.0862,                 1.1336,               0.041429,              0.0044289,              0.0044289
                      5,                 1.4289,                 1.3635,                 1.2412,                0.86779,                0.51736,                0.75573,                0.43892,                  1.273,                 1.8829,                 1.1313,               0.025772,              0.0047716,              0.0047716
                      6,                 1.4085,                 1.3496,                  1.208,                0.78117,                0.67765,                  0.763,                0.44915,                 1.3194,                 1.5755,                 1.1478,              0.0097975,              0.0047975,              0.0047975
                      7,                 1.3658,                 1.2485,                 1.1719,                0.80073,                0.70235,                0.79918,                0.48072,                 1.2707,                 1.3199,                 1.1225,                0.00406,                0.00406,                0.00406
                      8,                 1.3687,                 1.2142,                 1.1697,                0.81474,                0.71399,                0.80665,                0.49233,                 1.2425,                 1.1914,                 1.1264,                0.00307,                0.00307,                0.00307
                      9,                 1.3001,                 1.1806,                 1.1575,                0.79467,                0.73176,                0.80805,                0.48773,                 1.2501,                 1.1514,                  1.144,                0.00208,                0.00208,                0.00208
                     10,                 1.3102,                 1.1592,                  1.149,                0.79444,                0.73882,                0.82274,                0.50612,                 1.2303,                 1.1037,                 1.1324,                0.00109,                0.00109,                0.00109
