                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9068,                 2.5079,                 1.5475,                0.81415,                0.30235,                0.57815,                0.26474,                  1.612,                 2.1311,                 1.2527,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.5967,                 1.5829,                 1.3295,                0.55195,                0.53623,                0.53082,                0.24545,                 1.8732,                 1.6352,                 1.4622,              0.0010992,              0.0010992,              0.0010992
                      3,                 1.5101,                 1.5249,                 1.3026,                0.70279,                0.62118,                0.68583,                0.37737,                 1.4293,                 1.3819,                 1.2786,              0.0014757,              0.0014757,              0.0014757
                      4,                 1.5184,                 1.3836,                 1.2847,                0.70461,                0.62824,                0.68012,                0.37314,                 1.4365,                  1.356,                 1.2524,               0.001406,               0.001406,               0.001406
                      5,                 1.4844,                 1.3273,                 1.2835,                0.76214,                0.68228,                0.76825,                 0.4372,                 1.4071,                 1.1674,                 1.2457,               0.001208,               0.001208,               0.001208
                      6,                 1.4376,                 1.2804,                 1.2429,                 0.7789,                0.72117,                0.80471,                0.47133,                 1.3272,                 1.1209,                 1.2051,                0.00101,                0.00101,                0.00101
                      7,                 1.3866,                 1.2188,                 1.2138,                0.79935,                0.71529,                 0.8115,                0.48245,                 1.3028,                  1.087,                 1.1959,               0.000812,               0.000812,               0.000812
                      8,                 1.3963,                  1.184,                 1.2091,                 0.7992,                0.72588,                0.81724,                0.48631,                 1.3049,                 1.0728,                 1.1841,               0.000614,               0.000614,               0.000614
                      9,                 1.3722,                 1.1532,                 1.2018,                0.81533,                0.70118,                0.82341,                0.50792,                 1.2527,                 1.0561,                 1.1711,               0.000416,               0.000416,               0.000416
                     10,                 1.3273,                 1.1301,                   1.19,                0.81724,                0.72471,                0.83463,                0.51936,                  1.249,                 1.0184,                 1.1606,               0.000218,               0.000218,               0.000218
