                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1139,                  2.591,                 1.6897,                0.04144,                0.84824,                0.43853,                0.17721,                 1.9933,                 2.8739,                 1.6703,                 0.0865,                 0.0015,                 0.0015
                      2,                 2.1739,                 2.1421,                 1.7448,                 0.2136,                0.12588,                0.10468,                0.02327,                 2.7722,                 2.5626,                   3.16,               0.071793,              0.0027931,              0.0027931
                      3,                  2.249,                 2.3988,                 1.9047,                0.08534,                0.35412,                0.06168,                0.02331,                 2.3143,                 12.036,                 4.1417,               0.056769,              0.0037694,              0.0037694
                      4,                 2.2489,                 2.1523,                 1.8043,                0.12725,                0.20824,                0.09715,                0.03253,                 2.2169,                    inf,                 2.7279,               0.041429,              0.0044289,              0.0044289
                      5,                 2.1592,                 2.0106,                 1.7732,                0.12396,                0.45059,                0.10239,                 0.0367,                 2.1798,                  15.44,                 2.1891,               0.025772,              0.0047716,              0.0047716
                      6,                 2.1034,                 1.8368,                  1.704,                0.30314,                0.34824,                0.23796,                0.08493,                 2.1242,                 2.8136,                  1.943,              0.0097975,              0.0047975,              0.0047975
                      7,                 1.9511,                 1.7639,                 1.5813,                0.48089,                0.40353,                0.40609,                0.16586,                  1.948,                 1.8976,                 1.6893,                0.00406,                0.00406,                0.00406
                      8,                 1.8049,                 1.5383,                 1.4573,                0.51289,                0.51765,                0.50681,                0.23306,                 1.7338,                 1.5407,                  1.486,                0.00307,                0.00307,                0.00307
                      9,                 1.6501,                 1.4364,                 1.4088,                0.69099,                0.61529,                0.71565,                0.37752,                 1.5398,                 1.2795,                 1.3713,                0.00208,                0.00208,                0.00208
                     10,                 1.5531,                 1.3112,                 1.3466,                0.74229,                0.66588,                0.76702,                0.44119,                 1.4001,                 1.1832,                 1.2807,                0.00109,                0.00109,                0.00109
