                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1935,                 3.5441,                 1.8937,                0.02172,                0.44471,                0.02418,                0.00945,                 1.6647,                 3.2355,                 1.4379,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.8823,                 3.2662,                 1.6289,                0.03954,                0.80941,                0.06649,                0.03085,                 1.4743,                 2.9261,                  1.231,               0.086351,              0.0013515,              0.0013515
                      3,                 1.6058,                 2.3931,                 1.3985,                 0.0423,                0.86588,                0.55968,                0.25314,                 1.4829,                 2.6364,                 1.2794,               0.078845,              0.0018446,              0.0018446
                      4,                 1.5539,                 1.6217,                 1.3288,                0.04351,                0.89059,                0.67251,                0.34652,                 1.3462,                 2.4975,                 1.1748,               0.071179,              0.0021793,              0.0021793
                      5,                 1.4656,                 1.4882,                 1.2571,                0.04161,                0.85176,                0.69067,                0.36539,                 1.3153,                 2.4177,                 1.1755,               0.063356,              0.0023556,              0.0023556
                      6,                 1.4442,                 1.3908,                 1.2392,                0.04207,                0.86118,                 0.6725,                 0.3648,                  1.294,                 2.3831,                 1.1768,               0.055374,              0.0023735,              0.0023735
                      7,                  1.389,                 1.3104,                 1.2094,                0.44855,                0.85882,                0.77649,                0.44259,                 1.2557,                 2.2144,                 1.1133,               0.047233,               0.002233,               0.002233
                      8,                 1.3794,                 1.2663,                 1.2034,                0.94251,                0.36649,                0.79933,                0.45197,                 1.2617,                 2.0671,                 1.1132,               0.038934,              0.0019341,              0.0019341
                      9,                 1.3402,                 1.2292,                 1.1912,                0.89357,                0.54329,                0.78865,                 0.4503,                 1.2838,                 1.9302,                 1.1328,               0.030477,              0.0014768,              0.0014768
                     10,                 1.3417,                 1.2105,                 1.1786,                0.87762,                0.60746,                0.80641,                0.47191,                 1.2632,                 1.8383,                 1.1199,               0.021861,              0.0008611,              0.0008611
