                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0409,                 3.2796,                 1.7099,                0.04172,                0.85412,                0.21382,                 0.0846,                 1.7984,                 2.8125,                  1.256,                  0.073,                  0.003,                  0.003
                      2,                  1.759,                 1.9065,                 1.3377,                0.56696,                0.57294,                0.56215,                0.25812,                 1.6643,                 1.5764,                 1.2546,               0.044496,              0.0054961,              0.0054961
                      3,                 1.5541,                 1.5812,                 1.2709,                0.55802,                0.60601,                0.60058,                0.30809,                 1.4955,                 1.6275,                 1.2556,               0.015378,              0.0073784,              0.0073784
                      4,                 1.5448,                 1.5161,                 1.2723,                  0.643,                0.60824,                0.65896,                0.36176,                 1.4174,                 1.3926,                  1.227,                0.00703,                0.00703,                0.00703
                      5,                 1.4925,                 1.4318,                 1.2518,                0.76506,                0.62471,                0.72787,                0.40748,                 1.3925,                 1.2411,                 1.2087,                0.00604,                0.00604,                0.00604
                      6,                  1.486,                  1.391,                 1.2418,                0.75924,                0.66941,                0.77151,                0.44154,                 1.3626,                 1.2179,                 1.2022,                0.00505,                0.00505,                0.00505
                      7,                 1.4536,                 1.3455,                 1.2356,                0.78408,                0.67928,                0.77131,                 0.4477,                 1.3514,                 1.1833,                 1.1992,                0.00406,                0.00406,                0.00406
                      8,                 1.4795,                 1.3201,                 1.2314,                0.79866,                0.70002,                0.79584,                0.47567,                 1.3018,                 1.1236,                 1.1669,                0.00307,                0.00307,                0.00307
                      9,                 1.3951,                 1.2843,                  1.204,                0.82336,                0.69294,                 0.8062,                0.48228,                 1.2819,                 1.0984,                 1.1669,                0.00208,                0.00208,                0.00208
                     10,                 1.3633,                 1.2277,                 1.1922,                0.80439,                0.70471,                0.80749,                0.48695,                 1.2871,                 1.0842,                 1.1643,                0.00109,                0.00109,                0.00109
