                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2009,                 3.5474,                 1.8989,                0.01885,                0.38588,                0.01975,                0.00774,                 1.7548,                 3.2802,                 1.5069,                 0.0937,                 0.0007,                 0.0007
                      2,                 2.0248,                 3.3925,                 1.7478,                0.03839,                0.78588,                0.12534,                0.05224,                 1.5506,                 3.0328,                 1.2371,               0.086351,              0.0013515,              0.0013515
                      3,                 1.7571,                 2.5616,                 1.3963,                 0.0419,                0.85765,                0.27266,                0.11077,                 1.6904,                 2.6914,                 1.2389,               0.078845,              0.0018446,              0.0018446
                      4,                 1.6658,                 1.6709,                   1.28,                0.77785,                0.46962,                0.62973,                0.31374,                 1.5132,                 2.0551,                  1.163,               0.071179,              0.0021793,              0.0021793
                      5,                 1.5405,                 1.5234,                 1.2386,                0.62394,                0.59765,                0.60773,                0.31509,                 1.5081,                 1.7874,                 1.2196,               0.063356,              0.0023556,              0.0023556
                      6,                 1.4682,                 1.4489,                 1.2265,                0.67254,                0.53882,                 0.6089,                0.32237,                 1.4983,                 1.8568,                 1.2483,               0.055374,              0.0023735,              0.0023735
                      7,                  1.422,                 1.3508,                 1.2135,                0.74393,                0.58706,                0.66885,                 0.3561,                 1.4997,                 1.7465,                 1.2676,               0.047233,               0.002233,               0.002233
                      8,                 1.4368,                 1.2815,                 1.2091,                0.75555,                0.64941,                0.73881,                0.40068,                 1.4488,                 1.5214,                 1.2216,               0.038934,              0.0019341,              0.0019341
                      9,                 1.3922,                 1.2486,                 1.1977,                0.77958,                0.69647,                0.77523,                  0.433,                 1.3872,                 1.3979,                 1.1813,               0.030477,              0.0014768,              0.0014768
                     10,                 1.3789,                 1.2196,                 1.1879,                0.77359,                0.71882,                 0.7884,                0.45144,                 1.3503,                 1.3458,                 1.1731,               0.021861,              0.0008611,              0.0008611
