                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4891,                 5.4187,                 2.2378,                0.00397,                0.08118,                0.00215,                0.00057,                 3.2714,                 7.5545,                 8.0584,                 0.0937,                 0.0007,                 0.0007
                      2,                 3.4308,                 6.3019,                 3.2993,                0.00397,                0.08118,                0.00215,                0.00057,                    nan,                    nan,                    nan,               0.086351,              0.0013515,              0.0013515
                      3,                  3.398,                 3.0109,                 2.8478,                0.00397,                0.08118,                0.00215,                0.00057,                    nan,                    nan,                    nan,               0.078845,              0.0018446,              0.0018446
                      4,                 3.4492,                 2.9994,                 2.7658,                0.00132,                0.02706,                0.00068,                0.00013,                  4.155,                    inf,                 992.95,               0.071179,              0.0021793,              0.0021793
                      5,                 3.4319,                 3.3336,                 2.8493,                 0.0031,                0.06353,                0.00171,                0.00039,                 4.2296,                    inf,                 116.95,               0.063356,              0.0023556,              0.0023556
                      6,                 3.4105,                 2.7189,                 2.6156,                0.00213,                0.04353,                0.00117,                 0.0003,                 4.1173,                    inf,                 89.629,               0.055374,              0.0023735,              0.0023735
                      7,                 3.3842,                 2.5633,                 2.4896,                0.00269,                0.05059,                0.00135,                0.00035,                 4.0751,                    inf,                 53.277,               0.047233,               0.002233,               0.002233
                      8,                 3.3479,                 2.4869,                 2.4511,                0.00287,                0.05529,                0.00163,                0.00041,                 4.1071,                    inf,                  48.14,               0.038934,              0.0019341,              0.0019341
                      9,                 3.2838,                 2.5021,                 2.3608,                0.00575,                0.11765,                0.00328,                0.00078,                 3.9381,                  7.178,                 24.436,               0.030477,              0.0014768,              0.0014768
                     10,                 3.3222,                 2.5059,                 2.3634,                0.13419,                0.16471,                0.06192,                0.01476,                 3.3361,                  3.291,                 2.7126,               0.021861,              0.0008611,              0.0008611
