                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9604,                 2.1556,                 1.5599,                0.40525,                0.45882,                0.37695,                0.14892,                 2.1089,                 1.9083,                 2.1733,                  0.073,                  0.003,                  0.003
                      2,                 1.8722,                 1.6843,                 1.5682,                0.28447,                0.25176,                0.19904,                0.07562,                 2.2629,                 2.3205,                 2.0734,               0.044496,              0.0054961,              0.0054961
                      3,                 1.8673,                 1.6346,                   1.56,                 0.0504,                0.22824,                0.03411,                 0.0105,                 2.8954,                 3.3172,                 2.7565,               0.015378,              0.0073784,              0.0073784
                      4,                   1.82,                 1.5204,                 1.5135,                0.39618,                0.45882,                0.37133,                0.14942,                 2.0911,                 2.6035,                 2.0321,                0.00703,                0.00703,                0.00703
                      5,                 1.7419,                  1.474,                 1.4817,                0.56476,                0.51882,                0.53181,                0.25184,                 1.8537,                 1.8284,                 1.6398,                0.00604,                0.00604,                0.00604
                      6,                 1.7269,                  1.388,                 1.4576,                 0.6934,                0.57736,                 0.6395,                0.32856,                 1.6613,                 1.4376,                 1.4644,                0.00505,                0.00505,                0.00505
                      7,                 1.6423,                 1.3279,                 1.3828,                0.56428,                0.57529,                0.55893,                  0.278,                 1.6669,                 1.9702,                 1.4901,                0.00406,                0.00406,                0.00406
                      8,                 1.5941,                 1.3177,                 1.3726,                 0.7446,                0.68353,                0.75419,                0.41253,                 1.4806,                 1.2153,                 1.3365,                0.00307,                0.00307,                0.00307
                      9,                 1.5552,                 1.2521,                 1.3509,                0.72527,                0.68018,                0.76237,                0.42681,                 1.4671,                 1.1612,                 1.3203,                0.00208,                0.00208,                0.00208
                     10,                 1.5105,                 1.1951,                  1.321,                0.76547,                 0.6758,                0.77897,                0.44047,                 1.4245,                 1.1572,                 1.2887,                0.00109,                0.00109,                0.00109
