                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1279,                 3.2945,                 1.7903,                0.03885,                0.79529,                0.44882,                 0.1656,                 1.9489,                 2.7215,                 1.5735,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.7124,                 1.6896,                  1.439,                 0.3486,                0.23647,                0.20967,                0.06858,                 2.5391,                 2.6013,                  2.073,               0.086351,              0.0013515,              0.0013515
                      3,                 1.6433,                 1.4841,                  1.424,                0.00408,                0.08353,                0.00221,                 0.0007,                 3.1493,                 10.375,                  3.197,               0.078845,              0.0018446,              0.0018446
                      4,                 1.6168,                 1.3441,                 1.3873,                0.01732,                0.34118,                0.01292,                0.00407,                 2.8487,                    inf,                  4.971,               0.071179,              0.0021793,              0.0021793
                      5,                 1.5705,                 1.2757,                 1.3663,                0.00563,                0.11529,                0.00314,                0.00087,                 3.3171,                    inf,                 9.5632,               0.063356,              0.0023556,              0.0023556
                      6,                 1.5348,                   1.27,                 1.3316,                0.01434,                0.17882,                0.00769,                0.00229,                 3.2795,                    inf,                 6.9234,               0.055374,              0.0023735,              0.0023735
                      7,                 1.4971,                 1.1917,                 1.3193,                0.02841,                0.28706,                0.01752,                0.00641,                 2.4957,                    inf,                 2.7322,               0.047233,               0.002233,               0.002233
                      8,                 1.4663,                 1.1376,                 1.2767,                0.06404,                0.34706,                0.03899,                 0.0196,                 1.9583,                 5.3033,                 1.8885,               0.038934,              0.0019341,              0.0019341
                      9,                 1.4196,                 1.1009,                 1.2845,                0.42115,                0.46235,                0.31451,                0.16812,                 1.5914,                 1.8066,                  1.483,               0.030477,              0.0014768,              0.0014768
                     10,                 1.4111,                 1.0897,                 1.2727,                 0.5957,                0.62941,                0.58309,                0.32945,                 1.4242,                 1.3067,                 1.3011,               0.021861,              0.0008611,              0.0008611
